Lat,Lng,Distance (meters),Distance (feet),Distance (miles),Elevation (meters),Elevation (feet),Slope (degrees),Aspect (degrees),Landcover,Canopy (percent),Linear Grade (percent)
40.80889849444814,-77.80793411861272,0,0,0.0,398,1306,3,276,packed_gravel,68,1.33
40.80895858168401,-77.80789079742995,8,25,0.0047348408850094595,398,1306,4,281,packed_gravel,68,3.11
40.80901866892613,-77.80784747624267,15,50,0.009469681278428524,398,1306,7,294,packed_gravel,43,5.31
40.80907875617449,-77.8078041550509,23,75,0.014204521179899987,398,1306,7,268,packed_gravel,43,7.58
40.809138843429096,-77.80776083385463,30,100,0.018939360589347996,399,1309,9,254,packed_gravel,43,5.01
40.80920596352237,-77.8077435091194,38,125,0.023669868428465538,399,1309,6,245,packed_gravel,64,3.79
40.80927328865289,-77.80775282874977,46,150,0.028352278735668028,399,1309,4,236,packed_gravel,48,2.49
40.80934063145725,-77.80776904090638,53,175,0.03308711861632784,399,1309,4,250,packed_gravel,48,1.14
40.809407974262726,-77.80778525306326,61,200,0.03782195842053482,400,1312,3,279,packed_gravel,48,-1.45
40.809475317069285,-77.80780146522038,68,225,0.04255679814657158,399,1309,2,276,packed_gravel,48,-2.76
40.809542659876946,-77.80781767737778,76,250,0.04729163779580522,399,1309,4,277,packed_gravel,35,-3.11
40.80961000268571,-77.80783388953546,84,275,0.05202647736810229,399,1309,7,268,packed_gravel,35,-3.01
40.80967734549557,-77.80785010169339,91,300,0.05676131686332937,399,1309,8,280,packed_gravel,35,-9.71
40.80974468830653,-77.80786631385158,99,325,0.06149615628100287,398,1306,10,279,packed_gravel,35,-5.87
40.80980388101955,-77.80790900535072,106,349,0.06616087791080784,398,1306,8,257,packed_gravel,35,-3.36
40.80986148698469,-77.80794234201021,113,372,0.07051098691539454,398,1306,7,242,packed_gravel,35,5.34
40.80992259941244,-77.8079016003917,121,397,0.0752458264413468,398,1306,7,242,packed_gravel,35,11.77
40.80998640606286,-77.80786937508317,129,422,0.07997083958724867,399,1309,7,243,packed_gravel,35,11.07
40.810051285215664,-77.80784053990415,136,447,0.08470567956257832,400,1312,7,242,packed_gravel,72,8.84
40.81011616437169,-77.8078117047237,144,472,0.08944051930249484,400,1312,5,213,packed_gravel,72,5.93
40.810181043530946,-77.80778286954181,152,497,0.09417535880747235,401,1316,6,206,packed_gravel,72,7.59
40.81024450903502,-77.80774929457898,159,522,0.09890414327720758,401,1316,8,216,packed_gravel,75,9.03
40.81030683502388,-77.80771189898567,167,547,0.1036389900168209,402,1319,5,193,packed_gravel,81,7.15
40.81036916101774,-77.80767450338936,174,572,0.10837383637600186,402,1319,6,216,packed_gravel,81,5.83
40.8104314870166,-77.80763710779004,182,597,0.11310868235505754,403,1322,5,220,packed_gravel,81,7.97
40.81049381302047,-77.80759971218772,190,622,0.11784352795412724,403,1322,6,230,packed_gravel,81,4.21
40.810556139029345,-77.8075623165824,197,647,0.12257837317276293,404,1325,5,237,packed_gravel,81,8.2
40.81061846504322,-77.80752492097409,205,672,0.12731321801096407,405,1329,5,232,packed_gravel,81,6.95
40.810680791062104,-77.80748752536276,213,697,0.13204806246948522,405,1329,6,241,packed_gravel,81,6.12
40.810743117085984,-77.80745012974843,220,722,0.1367829065471232,406,1332,3,224,packed_gravel,81,6.99
40.81080544311487,-77.80741273413109,228,747,0.14151775024508007,406,1332,5,226,packed_gravel,81,5.8
40.810867769148764,-77.80737533851075,235,772,0.1462525935626002,406,1332,4,242,packed_gravel,79,4.72
40.81093009518766,-77.80733794288741,243,797,0.15098743649968305,407,1335,8,261,packed_gravel,79,5.43
40.81099242123156,-77.80730054726108,251,822,0.1557222790567755,407,1335,6,239,packed_gravel,79,5.3
40.811054747280465,-77.80726315163173,258,847,0.1604571212337372,408,1339,5,230,packed_gravel,79,5.55
40.81111707333438,-77.80722575599938,266,872,0.16519196303070746,408,1339,9,246,packed_gravel,76,5.69
